timestamp,FeatureBuyChoice,Purchased Feature count
6/2/2022 0:00,purchase4,1118
6/2/2022 0:00,purchase5,304
6/2/2022 0:00,purchase6,244
6/3/2022 0:00,purchase4,4010
6/3/2022 0:00,purchase5,1032
6/3/2022 0:00,purchase6,1065
6/4/2022 0:00,purchase4,3300
6/4/2022 0:00,purchase5,757
6/4/2022 0:00,purchase6,1017
6/5/2022 0:00,purchase4,3013
6/5/2022 0:00,purchase5,696
6/5/2022 0:00,purchase6,797
6/6/2022 0:00,purchase4,3110
6/6/2022 0:00,purchase5,816
6/6/2022 0:00,purchase6,857
6/7/2022 0:00,purchase4,3449
6/7/2022 0:00,purchase5,1006
6/7/2022 0:00,purchase6,1147
6/8/2022 0:00,purchase4,3628
6/8/2022 0:00,purchase5,998
6/8/2022 0:00,purchase6,1492
6/9/2022 0:00,purchase4,2845
6/9/2022 0:00,purchase5,791
6/9/2022 0:00,purchase6,913
